Acronyme,changements à préciser depuis le 16-17 octobre 2023,NOM et prénom,Etablissement du porteur,Etablissement 2,Etablissement 3,Etablissement 4,Etablissement 5,Etablissement 6,Etablissement 7,Etablissement 8,Etablissement 9,Etablissement 10,Etablissement 11,Partenaire 1,Partenaire 2,Partenaire 3,Partenaire 4,Partenaire 5,Partenaire 6,Partenaire 7,Partenaire 8,Partenaire 9,Partenaire 10,Partenaire 11,Partenaire 12,Laboratoire du porteur,Labo 2,Labo 3,Labo 4,Labo 5,Labo 6,Labo 7,Labo 8,Labo 9,Labo 10,Labo 11,Labo 12,Labo 13,Labo 14,Labo 15,Labo 16,Labo 17,Labo 18,Labo 19,Labo 20,Labo 21,Labo 22,discipline 1,discipline 2,discipline 3,discipline 4,discipline 5,discipline 6,discipline 7,discipline 8,discipline 9,discipline 10,discipline 11,ERC,Mot clef 1,Mot clef 2,Mot clef 3,Mot clef 4,Mot clef 5,Mot clef 6,Mot clef 7,Mot clef 8,Mot clef 9,Mot clef 10,Mot clef 11,Mot clef 12,Mot clef 13,site 1,site 2,site 3,site 4,site 5,site 6,site 7,site 8,site 9,site 10,site 11,nom 2,nom 3,nom 4,nom 5,nom 6,nom 7,nom 8,nom 9,nom 10,nom 11,nom 12,nom 13,nom 14,nom 15,nom 16,nom 17,nom 18,nom 19,nom 20,nom 21,nom 22,nom 23,nom 24,nom 25,nom 26,nom 27,nom 28,nom 29,nom 30,Defi principal,autre défi 1,autre défi 2,autre défi 3,autre défi 4,autre défi 5,autre défi 6,Nom complet,Notes,,,,
HeCtor,,BADINIER Thibault,Université Gustave Eiffel,,,,,,,,,,,,,,,,,,,,,,,SRO,,,,,,,,,,,,,,,,,,,,,,"mécanique, Génie Civil - G9 60",,,,,,,,,,,,Villes durables,Bâtiment innovant,résilience,Décarbonation,villes sobres et frugales,fabrique de la ville soutenable,Productivité de la ville soutenable,modélisation et simulation,rénovation,,,,,Marne la Vallée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville sobre et frugale,Le changement climatique,La préservation de la biodiversité,La ville résiliente,,,,Chauffer et rafraichir la ville durable grâce aux fondations géothermiques,,,,,
HUT,,AIT HADDOU Hassan,École nationale supérieure d’architecture Paris-Val de seine,"Northumbria University Department of Architecture, Engineering and Construction","IDESP UA 11 (INSERM, Université de Montpellier)",,,,,,,,,CSTB,3M Montpellier Méditerranée Métropole,CHU Montpellier,,,,,,,,,,EVCAU,LIFAM,MRM,MRE,LICeM,LERASS,TETIS,IRIT,,,,,,,,,,,,,,,Architecture Arts - G4 18,Economie Gestion Management - G2 05 06,Géographie - G4 23,informatique - G5 27,,,,,,,,"PE11 Génie des matériaux : Développement de matériaux avancés : amélioration des performances, modélisation, préparation à grande échelle, modification, adaptation, optimisation, nouvelles applications des matériaux, utilisation combinée des matériaux, etc.",,,,,,,,,,,,,,Paris Val de Seine,Montpellier,Toulouse,Norhumbria (UK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La ville durable, santé et bien-être",,,,,,,Habitat Urbain en Transition-HUT: Vers une exploration approfondie de l'utilisation des environnements connectés pour le bien-être et la ville durable,,,,,
Hybrid-Lab,,BOUYER Julien,CEREMA,Université de Toulouse 2 Jean-Jaurès,,,,,,,,,,,,,,,,,,,,,,TEAM,LISST,,,,,,,,,,,,,,,,,,,,,Géographie - G4 23,"structure et évolution de la terre, enveloppe supérieure, fluide G8 35 36 37",,,,,,,,,,"SH4 L'esprit humain et sa complexité : Sciences cognitives, psychologie, linguistique, philosophie théorique",Laboratoire nomade hors les murs,Participation multi-acteurs,Opération d'aménagement,transdisciplinarité,adaptation à la surchauffe urbaine,,,,,,,,,Nancy,Toulouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laboratoire hybride des sciences urbaines,,,,,
IDEA,,CHENAF-NICET Dalila,Université de Bordeaux,,,,,,,,,,,,,,,,,,,,,,,LAREFI,BSE,ETTIS,LAP,,,,,,,,,,,,,,,,,,,Economie Gestion Management - G2 05 06,Aménagement Urbanisme G4 24,,,,,,,,,,,inclusion,inégalité,justice environnementale,citoyenneté,quartiers défavorisés,population jeune,résilience,,,,,,,Bordeaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville inclusive et équitable,La ville résiliente,,,,,,Quartiers innovants et actions environnementales,,,,,
inteGREEN,,KOTTHAUS-BOUSSAAD Simone,Ecole Polytechnique,Sorbonne Université,Ecole Nationale des Ponts ParisTech,INRAE,Institut Pasteur,Ecole Nationale Supérieure Mines,CNRS,,,,,,,,,,,,,,,,,LMD,LIMEEP-PS,SAD-APT,CIRED,CEARC,CREST,iEES,LSCE,LATMOS,METIS,CEREA,LISA,ECOSYS,CERI EE,,,,,,,,,Economie Gestion Management - G2 05 06,Aménagement Urbanisme G4 24,"Structure et évolution de la terre, enveloppe supérieure, fluide G8 35 36 37","Biologie, biochimie, physiologie, écologie, neuroscience - G10  64 à 69","Santé, médecine - Gxx 85 à 92",,,,,,,"LS2 Biologie intégrative : des gènes et des génomes aux systèmes : Pour tous les organismes Génétique, épigénétique, génomique et autres études "" omiques "", bioinformatique, biologie des systèmes, maladies génétiques, modification de gènes, méthodes et modélisation innovantes, "" omiques "" pour la médecine personnalisée",Villes résilientes,évaluation,ville durable,santé et bien-être,justice environnementale,biodiversité,eau en ville,,,,,,,Paris,Lille,,,,,,,,,,TOUILI Nabil,VIGUIE Vincent,DA CUNHA Charlotte,CRIFO Patricia,LEYMARIE Juliette,PUGA FREITAS Ruben,SARDA ESTEVE Roland,BASTIN Sophie,VILTARD Nicolas,OUDIN Ludovic,HAEFFELIN Martial,DUPONT Jean-Charles,RIBAUD Jean-François,SARTELET Karine,LUGON Lya,FORET Gilles,VIATTE Camille,SAKUNTABHAI Anavaj,PAUL Richard,DELARUE Frédéric,QUENEA Katell,RAMONET Michel,LOUBET Benjamin,STELLA Patrick,PERSONNE Erwan,SALAMEH Thérèse,ROMANIAS Emmanouil,,,La ville résiliente,"La ville durable, santé et bien-être",,,,,,Services urbains intégrés à partir de stratégies de végétalisation pour améliorer la résilience des villes,,,,,
Isomat,,BUDTOVA Tatiana,Mines Paris,,,,,,,,,,,,,,,,,,,,,,,CEMEF,PERSEE,,,,,,,,,,,,,,,,,,,,,Chimie - G7 31 32 33,Milieux Matériaux - G6 28 29 30,"Structure et évolution de la terre, enveloppe supérieure, fluide G8 35 36 37",,,,,,,,,,Isolation thermique,super-isolation thermique,Polymères biosourcés,fonctionnalisation,modélisation,durabilité,,,,,,,,Sophia Antipolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville sobre et frugale,"La ville durable, santé et bien-être",,,,,,Matériaux biosourcés hybrides et composites pour l’isolation et la super-isolation thermique,,,,,
LAVEC,,CARRIER Marion,CNRS,IMT Mines Albi,,,,,,,,,0,CSTB,Centre d'Accueil Permanent de Saint Front,Collectif EDStar,Meso-Star (Scop),Tactikollectif,,,,,,,,RAPSODEE,LMD,LAPLACE,EFTS,CNRM,LLA-CREATIS,,,,,,,,,,,,,,,,,informatique - G5 27,"structure et évolution de la terre, enveloppe supérieure, fluide G8 35 36 37","Biologie, biochimie, physiologie, écologie, neuroscience - G10  64 à 69","Science de l'éducation, sciences de l'information - G12 70 71 73 74",,,,,,,,"PE1 Mathématiques : Tous les domaines des mathématiques, pures et appliquées, plus les fondements mathématiques des sciences informatiques, la physique mathématique et les statistiques",Changement climatique,Villes sobres et frugales,Modélisation et simulation,Décarbonation,atténuation,inclusion,construction,ingéniérie,rénovation,passage à l'échelle,,,,Albi,Toulouse,Paris,,,,,,,,,HOUDIN Frédéric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le changement climatique,la préservation de la biodiversité,La ville sobre et frugale,,,,,LA Ville En Chemins,,,,,
MIRAGES,,POULHÉS Alexis,Ecole Nationale des Ponts ParisTech,Ecole Nationale des Ponts ParisTech,,,,,,,,,,CSTB,EFFICACITY,,,,,,,,,,,LVMT,,,,,,,,,,,,,,,,,,,,,,informatique - G5 27,Aménagement Urbanisme G4 24,,,,,,,,,,"PE9 Sciences de l'Univers : Astro-physique/-chimie/-biologie; système solaire; systèmes planétaires; astronomie stellaire, galactique et extragalactique, cosmologie, sciences de l'espace, instrumentation et données astronomiques",,,,,,,,,,,,,,Marne la Vallée,,,,,,,,,,,COLOMBERT Morgane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mesurer l'Innovation environnementale des projets uRbains, une Approche par les usaGES",,,,,
NEO,,RODRIGUEZ Fabrice,Université Gustave Eiffel,Université Rennes 2,,,,,,,,,,Direction de l'innovation du SIAAP,OTHU - Observatoire,OSU Val de Loire - Observatoire,ZA armorique,OSU-OREME - observatoire,ONERA DOTA,,,,,,,LEE,LHEEA,LPG,BRGM (Pays de Loire),BPE,LEESU,LAMA,DEEP,RIVERLY,LEHNA,CETHIL,BGS,ThéMA,ISTO,LSE,LIEC,LETG,SAS,ECOBIO ,HSM,LIVE,ICube,"biologie, biochimie, physiologie, écologie, neuroscience - G10  64 à 69",Chimie - G7 31 32 33,"Energétique, génie des procédé - G9 62","Mécanique, Génie Civil - G9 60",mathématique - G5 25 26,Informatique - G5 27,"Structure et évolution de la terre, enveloppe supérieure, fluide G8 35 36 37",Aménagement Urbanisme G4 24,géographie - G4 23,,,,Villes durables,Urbanisation,changement climatique,observation intégrée,zone critique,bancarisation,réseau d'acteur,,,,,,,Nantes,Ile de France,Lyon Saint Etienne,Dijon,Orléans,Nancy,Rennes,Montpellier,Strasbourg,Toulouse,,NABUCET Jean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville résiliente,Le changement climatique,La préservation de la biodiversité,,,,,Nouvel observatoire intégré de l'environnement pour la transition urbaine,,,,,
NEXTARK,,LEMIRE Vincent,Université Gustave Eiffel,,,,,,,,,,,Limonade & Co,,,,,,,,,,,,ACP,,,,,,,,,,,,,,,,,,,,,,Géographie - G4 23,Histoire - Archéologie - G4 21 22,,,,,,,,,,,Citizen learning,Smart Digital Tool,Memory of risk,Long lasting and sustainabilité city,Decision support,,,,,,,,,Marne la Vallée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville inclusive et équitable,"Les défis émergents, signaux faibles, nouvelles difficultés",,,,,,"Next Smart and Collaborative Tool for Accessing, Collecting and Sharing City Archives and Environmental urban Knowledge",,,,,
OASIS,,MONIN Sébastien,CEA,Ecole Nationale Supérieure d'Architecture de Grenoble,Université de Grenoble Alpes,Université Savoie Mont-Blanc,,,0,0,0,0,0,Serge Ferrari Group SA,Grenoble Alpes Métropole,Métropole de Lyon,,,,,,,,,,LIST,LOCIE,EVS,PACTE,,,,,,,,,,,,,,,,,,,"energétique, génie des procédé - G9 62","Mécanique, Génie Civil - G9 60",Géographie - G4 23,Aménagement Urbanisme G4 24,,,,,,,,"SH2 Institutions, gouvernance et systèmes juridiques : Sciences politiques, relations internationales, droit",ICU,IFU,Ombrage artificiel,contexte territorial,confort thermique,Microclimat urbain,ilot de vie,conception avancée,expérimentation,,,,,Grenoble,Chambery,Lyon Saint Etienne,,,,,,,,,MARIN Philippe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le changement climatique,la préservation de la biodiversité,La ville résiliente,La ville sobre et frugale,La ville inclusive et équitable,"La ville durable, santé et bien-être",,Ombrage Artificiel Située et Irradiation Solaire,,,,,
ODISSe,,BADINIER Thibault,Université Gustave Eiffel,,,,,,,,,,,,,,,,,,,,,,,SRO,,,,,,,,,,,,,,,,,,,,,,"structure et évolution de la terre, enveloppe supérieure, fluide G8 35 36 37","Mécanique, Génie Civil - G9 60",,,,,,,,,,,Villes durables,Bâtiment innovant,Sobriété,décarbonation,villes sobres et frugales,Fabrique de la ville soutenable,Productivité de la ville soutenable,construction,ingénierie,,,,,Marne la Vallée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville résiliente,La ville sobre et frugale,Le changement climatique,La préservation de la Biodiversité,,,,Optimisation et Inovation des systèmes de fondations pour une ville durable,,,,,
OPTIMA,,LIU Yao,Université Gustave Eiffel,IMT Nord Europe,,,,,,,,,,,,,,,,,,,,,,EASE,LEE,IRCE,LPCA,,,,,,,,,,,,,,,,,,,"structure et évolution de la terre, enveloppe supérieure, fluide G8 35 36 37",Chimie - G7 31 32 33,,,,,,,,,,,Facteur d'émission,composées organiques,métaux,carbone-suie,particules primaires et secondaires,morphologie,trafic,hors échappement,impact,santé,,,,Marne la Vallée,Lyon Saint Etienne,Dunkerque,Lille,,,,,,,,VANSEVENANT Boris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville résiliente,"La ville durable, santé et bien-être",,,,,,Pollutions primaires et secondaires du trafic routier et leur impact sur la santé,,,,,
PEREN-FLORE,,JOSSELIN Didier,CNRS,,,,,,,,,,,Jeune Entreprise Innovante ECOSUD/CERES-FLORE,Ville d'Avignon,Ville de Lyon,,,,,,,,,,ESPACE,LIRIS,AAU,EMMAH,IES,PIAF,,,,,,,,,,,,,,,,,Géographie - G4 23,Informatique - G5 27,Architecture Arts - G4 18,"Biologie, biochimie, physiologie, écologie, neuroscience - G10  64 à 69","Génie électrique, électronique, système - G9 63",,,,,,,"PE4 Chimie physique et analytique : Chimie analytique, théorie chimique, chimie physique/physico-chimie",Adaptation des végétaux,Modélisation géomatique,équité socio-spatiale,densité,mobilité urbaine,mesure et estimation des conditions climatiques locales,micro-écosystèmes,Observatoire de la revégétalisation,,,,,,Avignon,Lyon Saint Etienne,Nantes,Montpellier,Clermont Ferrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville résiliente,Le changement climatique,La ville inclusive et équitable,"La ville durable, santé et bien-être",,,,De la végétation pour une ville résiliente,,,,,
Prospect-Villes,,THOYER Sophie,INRAE,,,,,,,,,,,ADEME,,,,,,,,,,,,CEE-M,LBE,FARE,CSUN,CEREMA,,,,,,,,,,,,,,,,,,"biologie, biochimie, physiologie, écologie, neuroscience - G10  64 à 69",Economie Gestion Management - G2 05 06,mathématique - G5 25 26,,,,,,,,,,Prospective,Bioressources,Biodéchets,Agromatériaux,Agriculture urbaine,Services fondés sur la nature,Circularité,territoires urbains,,,,,,Montpellier,Reims,Chicago,,,,,,,,,STEYER Jean-Philippe,MORA Olivier,KUREK Bernard,DERRIBLE Sybil,,,,,,,,,,,,,,,,,,,,,,,,,,"La ville durable, santé et bien-être",La ville sobre et frugale,"Les défis émergents, signaux faibles, nouvelles difficultés",,,,,Prospective sur la place des bioressources dans les villes à l’horizon 2050,,,,,
RaaS_FPA,,BHOURI Neila,Université Gustave Eiffel,CEREMA,,,,,,,,,,Marne La Vallée,,,,,,,,,,,,GRETTIA,LASTIG,LIGM,DAVID,,,,,,,,,,,,,,,,,,,informatique - G5 27,Géographie - G4 23,,,,,,,,,,,RaaS,MaaS,Multimodal Transportation,Mode coopération,Autonomous,Public transport,Goods,Last mile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville résiliente,Le changement climatique,La préservation de la biodiversité,La ville inclusive et équitable,,,,Cooperation des transports de marchandises et de passagers pour offrir la résilience en tant que Service,,,,,
REGENERATIV,,MENEZO Christophe,Université de Savoie Mont-Blanc,Université Grenoble Alpes,CEA,CEREMA,INRIA,CEREMA,CEA,Université de Bretagne Occidentale,0,0,0,CSTB-Direction énergie environnement et climatologie-aérodynamique-aéraulique,ENGIE,SPL Terrinnov,Pays de Gex Agglo,TENERRDIS,,,,,,,,LOCIE,LAMA,IREGE,G2ELab,GAEL,PACTE,BPE,CEA-LITEN,Lab-STICC,,,,,,,,,,,,,,"energétique, génie des procédé - G9 62",mathématique - G5 25 26,Informatique - G5 27,Economie Gestion Management - G2 05 06,"Génie électrique, électronique, système - G9 63",Sociologie Démographie - G4 19,Architecture Arts - G4 18,"Structure et évolution de la terre, enveloppe supérieure, fluide G8 35 36 37",,,,,Sobriété urbaine,Aménagement,programmation,densification,Micro-climat,Réseaux de 5ème génération,Énergies renouvelables,,,,,,,Savoie,Grenoble,Bretagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville résiliente,La ville sobre et frugale,La ville inclusive et équitable,"La ville durable, santé et bien-être","Les défis émergents, signaux faibles, nouvelles difficultés",,,Villes régénératrices face aux évolutions climatiques et à la dépendance énergétique,,,,,
REHABILITER ,,HALBERT Ludovic,CNRS,,,,,,,,,,,,,,,,,,,,,,,LATTS,Lab'URBA,,,,,,,,,,,,,,,,,,,,,Géographie - G4 23,Aménagement Urbanisme G4 24,,,,,,,,,,"PE5 Chimie de synthèse et matériaux : Nouveaux matériaux et nouvelles approches de synthèse, relations structure-propriétés, chimie de l'état solide, architecture moléculaire, chimie organique",Réhabilitation,Passage à l'échelle,territoires/territorialisation,Ville sobre frugale,Inégalités sociales,action publique,,,,,,,,Marne la Vallée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville sobre et frugale,Le changement climatique,La préservation de la biodiversité,La ville inclusive et équitable,,,,"REcherche sur l’Hétérogénité de l’Adaptation des Bâtiments : Indicateurs, LImites et Impacts dans les TERritoires",,,,,
RENO-ICU,,SCHOEMAECKER Coralie,Université de Lille,IMT Nord Europe,Université de Technologie de Compiègne,Université du Littoral Côte d'Opale,Université de Picardie Jules Verne,Université de Lorraine,,,,,,,,,,,,,,,,,,PC2A,LOA,TVES,LERMAB,AVENUES,LPCA,LTI,CERI EE,LASIRe,,,,,,,,,,,,,,"structure et évolution de la terre, enveloppe supérieure, fluide G8 35 36 37",Géographie - G4 23,Milieux Matériaux - G6 28 29 30,Aménagement Urbanisme G4 24,"Biologie, biochimie, physiologie, écologie, neuroscience - G10  64 à 69",,,,,,,,Ilots de chaleur urbain,rénovation,évaluation,implication citoyenne,exposition d'occupants,qualité des environnements intérieurs,changement climatique,bien-être,confort thermique,,,,,Lille,Dunkerque,Lorraine,Picardie,compiègne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville résiliente,Le changement climatique,La ville sobre et frugale,,,,,La rénovation de bâtiments collectifs comme levier de réduction des îlots de chaleur urbain,,,,,
REQUAL,,BARBOT Michela,CNRS,École normale supérieure Paris-Saclay,Ecole Nationale Supérieure d'Archteicture de Paris-Belleville,Université de Mons,Université McGill Montréal,"Grande Sasso Science Institute de l'Aquila, Italie",,,,,,Cabinet d'Architecture Engasser (Paris),,,,,,,,,,,,IDHE.S,AUSser,ISP,,,,,,,,,,,,,,,,,,,,Economie Gestion Management - G2 05 06,sociologie Démographie - G4 19,Architecture Arts - G4 18,Droit - G1 01 02 03,"Structure et évolution de la terre, enveloppe supérieure, fluide G8 35 36 37","mécanique, Génie Civil - G9 60",,,,,,SH6 L'étude du passé humain : Archéologie et histoire,,,,,,,,,,,,,,Paris Saclay,Paris,Mons (Belgique),Monréal (Canada),Italie,,,,,,,BENITES-GAMBIRAZIO Eliza,MORELLI Roberta,BESSY Christian,CORNU Marie,WAGENER Noé,MONTABERT Arnaud,KASRI Sarra,EMERICH Yaël,,,,,,,,,,,,,,,,,,,,,,La ville résiliente,La ville sobre et frugale,"La ville durable, santé et bien-être","Les défis émergents, signaux faibles, nouvelles difficultés",,,,Réqualifier la ville. L'habitat et le patrimoine au prisme de leur réqualification,,,,,
RESILIENCE,,D'ANNA Barbara,CNRS,IMT Nord Europe,Université de Lille,Université Gustave Eiffel,Ecole Nationale des Ponts ParisTech,Université du Littoral Côte d'Opale,,,,,,AASQA,Atmo Du,Atmo Hauts de France,Métropole Européenne de Lille,Aix Marseille Métropole,Ville de Marseille,Ville de Lille,Agence de Développement et d'urbanisme de Lille Métropole (ADULM),,,,,LCE,CERI EE,IUSTI,LMA,IMBE,LOA,LGCgE,CEREA,TVES,,,,,,,,,,,,,,Chimie - G7 31 32 33,"energétique, génie des procédé - G9 62","Biologie, biochimie, physiologie, écologie, neuroscience - G10  64 à 69","Structure et évolution de la terre, enveloppe supérieure, fluide G8 35 36 37",Géographie - G4 23,,,,,,,"PE2 Constituants fondamentaux de la matière : Physique des particules, nucléaire, des plasmas, atomique, moléculaire, des gaz et optique",Santé environnementale et humaine,bien être,rénovation bâtiment,biodiversité,végétalisation,îlots de chaleur,GES,pollutions,mobilité durable,,,,,Aix Marseille,Lille,Paris,Dunkerque,Salon de Provence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La ville durable, santé et bien-être",Le changement climatique,La préservation de la biodiversité,,,,,Robuste Evaluation de Solutions pour limiter les Impacts LIés aux ÉvolutioNs du Climat sur les Écocités,,,,,
ResIsTer,,GARNIER Philippe,ENSAG,Université de Grenoble Alpes,Université de la Nouvelle Calédonie,Université de la Réunion,Université des Caraïbes,Ecole Nationale Supérieure d'Architecture de Paris Belleville,IRD,,,,,Association Française de Prévention des Catastrophes Naturelles et Technologiques,BRGM,,,,,,,,,,,CRAterre,PACTE,ISTerre,3SR,CERAG,LIG,LGP,TROCA,,,,,,,,,,,,,,,milieux Matériaux - G6 28 29 30,"Mécanique, Génie Civil - G9 60",Géographie - G4 23,,,,,,,,,"LS5 Neurosciences et troubles du système nerveux : Développement, homéostasie et vieillissement du système nerveux, fonctionnement et dysfonctionnement du système nerveux, neurosciences des systèmes et modélisation, bases biologiques des processus cognitifs et du comportement, troubles neurologiques et mentaux",Insularité et outremers,vulnérabilité et résilience,Etablissements humains,cultures constructiveset culture du risque,changement climatique,solutions fondées sur la nature et la culture,contextualisation,localisation,aléas et risque hydrométéorologique et géophysique,Réduction des risques de catastrophe,,,,Grenoble,Nouvelle Calédonie,La Réunion,Caraïbes,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville résiliente,Le changement climatique,,,,,,"Territoires, villes et habitats insulaires résilients dans un contexte de changement climatique et de risques naturels",,,,,
S2C2T,,ROSPARS Claude,Université Gustave Eiffel,,,,,,,,,,,,,,,,,,,,,,,IMSE,PICS-L,LASTIG,MSME ,LIGM,Lab'URBA,,,,,,,,,,,,,,,,,informatique - G5 27,"Mécanique, Génie Civil - G9 60",,,,,,,,,,,Jumeaux Numériques Urbains,IoT,indicateurs,ACV,,,,,,,,,,Marne la Vallée,,,,,,,,,,,RACHEDI Abderrazak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville sobre et frugale,La ville résiliente,,,,,,Sustainable Smart and Circular City Twin,,,,,
SAGA-Cité,,SALIZZONI Pietro,Ecole Centrale de Lyon,Université Lumière Lyon 2,Université de Rennes,Centre Léo Berard,INRAE,INRIA,INSERM,INSA-Lyon,,,,CERFACS,IRSN,CEA-DAM,INERIS,Météo France,EDF,TOTAL,SUEZ,,,,,LMFA,LIRIS,CITI,PIAF,EVS,,,,,,,,,,,,,,,,,,"mécanique, Génie Civil - G9 60",Informatique - G5 27,"Structure et évolution de la terre, enveloppe supérieure, fluide G8 35 36 37","Santé, médecine - Gxx 85 à 92",Psychologie Ergonomie - G4 16,,,,,,,"PE6 Sciences informatiques et informatique : Systèmes informatiques et d'information, sciences informatiques, calcul scientifique, systèmes intelligents",Ville durable santé bien-être,Modélisation simulation,transition,justice environnementale,changement climatique,préservation de la biodiversité,pollution atmosphérique,,,,,,,Lyon Saint Etienne,Rennes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La ville durable, santé et bien-être",Le changement climatique,La ville résiliente,,,,,Simulateur Atmosphérique des Grandes Agglomérations,,,,,
SBBAM,,DUJARDIN Nicolas,Université Paris Est Créteil,Univeristé Paris Cité,,,,,,,,,,,,,,,,,,,,,,CERTES,LIED,,,,,,,,,,,,,,,,,,,,,"energétique, génie des procédé - G9 62",,,,,,,,,,,,Ville sobre et frugale,une fabrique et une productivité soutenable pour la ville,Villes inclusives et équitables,construction,habitants,vivre ensemble,,,,,,,,Créteil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville sobre et frugale,La ville inclusive et équitable,,,,,,Vers des matériaux de construction biosourcés,,,,,
SENSU,,ZEPF Marcus,Ecole d'urbanisme de Paris Université Paris Est Créteil,Université Paris Est Créteil,,,,,,,,,,,,,,,,,,,,,,Lab'URBA,LISA,IMRB,CEPIA,LIRTES,,,,,,,,,,,,,,,,,,Aménagement Urbanisme G4 24,Informatique - G5 27,Géographie - G4 23,Sociologie Démographie - G4 19,"Santé, médecine - Gxx 85 à 92",,,,,,,"PE8 Ingénierie des produits et des procédés : Conception de produits et de processus, génie chimique, génie civil, ingénierie environnementale, génie mécanique, ingénierie automobile, processus énergétiques et les méthodes de calcul correspondantes",Déterminants de santé,Santé urbaine,systèmes urbains,inégalités de santé,enjeux territoriaux de santé,approche holistique,,,,,,,,Créteil,,,,,,,,,,,COLL Isabelle,HACHI Ryma,MONVOISIN Manon,FOLLIET François,CHARREIRE Hélène,BARON Myriam,SCHUROFF Franck,SZOKE Andrei,OUBAYA Nadia,ARGOUD Dominique,,,,,,,,,,,,,,,,,,,,"La ville durable, santé et bien-être",La ville inclusive et équitable,,,,,,Surveillance des ENjeux de Santé Urbaine - Impact des Facteurs Sociaux et Environnementaux sur la Santé Urbaine.,,,,,
SOLAR,,BECHET Béatrice,Université Gustave Eiffel,CEREMA,,,,,,,,,,,,,,,,,,,,,,LEE,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santé des Sols,Services écosystémiques,artificialisation,nature en ville,biodiversité,infiltration des eaux pluviales,agriculture urbaine,désimperméabilisation,aménagement,science citoyenne,,,,,,,,,,,,,,,BRANCHU Philippe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville résiliente,Le changement climatique,La ville sobre et frugale,La ville inclusive et équitable,"La ville durable, santé et bien-être",,,La place et l'usage des sols dans l'aménagement urbain pour une ville plus durable et résiliente,,,,,
SPACE2050,,L'HOSTIS Alain,Université Gustave Eiffel,,,,,,,,,,,Efficacity,,,,,,,,,,,,LVMT,LAGAM,BSE,MATRIS,LAET,LGI,CES,AVENUES,,,,,,,,,,,,,,,Géographie - G4 23,Aménagement Urbanisme G4 24,Economie Gestion Management - G2 05 06,"Energétique, génie des procédé - G9 62",,,,,,,,,planification écologique,Plans climat,Ville bas carbone,atténuation,transition énergétique,modélisation,simulation,évaluation,collectivité territoriales,outils d'aide à la décision,,,,Marne la Vallée,Montpellier,Bordeaux,Lyon Saint Etienne,Paris,Compiègne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le changement climatique,la préservation de la biodiversité,La ville résiliente,"La ville durable, santé et bien-être",,,,"SPACE2050 -- Pour une approche Systémique de la Planification bAs Carbone des tErritoires : scénarios, actions et évaluations",,,,,
SUBI,,DAHAN Kevin,Université Gustave Eiffel,,,,,,,,,,,,,,,,,,,,,,,LISAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Les défis émergents, signaux faibles, nouvelles difficulté","La ville durable, santé et bien-être",,,,,,Sonore Urbain et Biodiversité Innovante,,,,,
